views,likes,comments,shares,author_verified,primary_hashtag,music_name,music_is_original,duration_sec,caption,upload_date,author_name,video_id
44800,3710,68,50,False,,Element,False,15,Confidence went 📈,2020-12-17,ninakleij,6907228749016714497
838100,55700,936,1817,False,,Without Me,True,11,Quiet Zone... follow me on insta: joeysofo. Comment where you wanna see me blade next. Reply to @dwight_schnuute,2020-09-23,joeysofo,6875468410612993286
15300000,936200,27100,21100,False,tiktok,Pilfingerdansen - Remix,False,19,Iphone bend test🤗 #tiktok #viral #fyp #iphone #test #bend,2020-11-24,jackeyephone,6898699405898059010
94900,12900,143,197,False,,Justin Timberlake - Mirrors,True,13,,2020-12-05,naomivaneeren,6902819837345533186
115300,8805,52,198,False,tiktok教室,原聲,True,22,小技です👟✨#tiktok教室#tutorial,2020-12-13,io.dreamer_mk,6905635666588192002
2800000,343000,2732,2846,False,volleyball,Diamonds,False,29,Great rally 😍🏐❤️ show some love in the comments for them👉❤️🏐 #volleyball #volleyballlove #volleyballworld,2020-11-15,the_volleyball_community,6895497835681287426
62200,227,4,0,False,,origineel geluid,True,11,Oh no,2020-11-15,milanvannleeuwen,6895303013867539713
81200,4326,354,201,False,timewarpscan,original sound,True,9,#TimeWarpScan,2020-10-17,helen.c_,6884590643327290625
8071,734,54,1,False,keşfet,Believer,False,15,"Kendinizi yıpratmayın, DEĞMEZ 🤞🏻 #keşfet #tiktok #turkey #kadın #erkek #aldatma #seniniçin #beniöneçıkart #ortamısalla #mizah #boys #girls #türkiye",2020-12-15,sulekolik,6906514963569888513
95800,3874,94,716,False,kids,Snort laugh,True,15,#kids #parents #funny,2020-11-12,pien.the.pug,6894206452450217217
39300,2080,19,17,False,foryou,WITHOUT YOU,False,9,Iknow maagdenvlies bestaat niet😄 #foryou #fyp #foryoupage #fy,2020-12-05,_ylvax,6902751117805899009
65900,3275,159,338,False,fyp,origineel geluid,True,8,Ben hopelijk niet de enigste😭 #fyp #dutch #fy,2020-10-22,aylaisah,6886417103046380801
45700,6268,68,26,False,stitch,Jailhouse Rock,False,10,#stitch met @charlielifefitness vandaag in deze aflevering van “hoeveel TikTok kan ik kijken totdat ik mezelf compleet haat...” #dutch #humor,2020-10-13,gaaf_in,6883211681988627714
1200000,57300,336,208,False,sportplazagroenendaal,Street Fashion Game,True,13,Wist jij dit? 👀 #sportplazagroenendaal #zwemmen #zwembad #glijbaan #badmeester #badjuf #werken #glijbaanchallenge,2020-11-08,sportplazagroenendaal,6892769736589888770
61500,6629,1166,92,False,roblox,original sound,True,15,Lets help the bacons #roblox #hacks #exploiting #bunbungirls,2020-12-15,roblox_trollingexploits,6906571896683285761
174400,14500,267,470,False,dance,som original,True,13,#dance #garrafa #horadearrasar #girl #challenge #musically #music,2020-12-17,jhullyduarte,6907334602017344774
346500,23900,181,505,False,nederland,Originalton,True,8,Welkom in Nederland🙋🏼‍♂️ #nederland #dutch #stamppot #voorjoupagina #fyp #foodmeme #flodder #15sworkout,2020-10-13,chef.lukeyluc,6883094233935252737
71400,2501,44,16,False,foryou,original sound - 🌸Ri Za🌸,True,11,Ben ik de enigste die dit doet? #foryou#pizzametananas#noticeme#xyzbca#viral#like#comment,2020-12-16,pizza_metananas,6906818204966915330
74700,6126,188,10,False,,original sound,True,15,"ඔන්න අද මගේ GF පෙන්නනවා,ලස්සනයි ද කියන්න බලන්න 😍😍පළමු වතාවට මගේ GF පෙන්නන්නෙ හැබැයි අන්තිමට",2020-09-25,_nisandu_kgnk_,6876318382703070465
90700,10700,209,104,False,ruinourfriendship,ruin our friendship,True,11,tag de gierigaard van je vriendengroep! #ruinourfriendship #loversinstead #friendship #friends #dutch #funny,2020-11-30,pudding.broodje,6900948690186407170
48000,1086,29,32,False,fatloss,origineel geluid,True,15,Makkelijk afvallen? #fatloss #gezond #fitness #fitdutchie #fitdutch  #vetverbranding #sportschool,2020-09-22,marc.koolen,6875323773755657474
11300,720,15,0,False,,Original Sound,False,13,තරහයිද මා එක්ක 🥺 අත දැම්මානේ 😡,2020-10-18,himalkekulawala,6884935459110178049
46800,2053,42,62,False,fyp,Blow Your Mind (Mwahchallenge),False,7,where my selfish bottoms at? #fyp #voorjou #netherlands #grindr #gay,2020-11-08,orangepotato56,6892805816492084481
